Aster,full sun
Black-Eyed Susan,full sun
Blanket Flower,full sun
California Poppy,full sun
Canna,full sun
Coneflower,full sun
Daffodil,full sun
Dahlia,full sun
Delphinium,full sun
Iris,full sun
Marigold,full sun
Peony,full sun
Russian Sage,full sun
Sedum,full sun
Shasta Daisy,full sun
Sunflower,full sun
Tulip,full sun
Wheat Celosia,full sun
Yarrow,full sun
Yellow Alyssum,full sun
Zinnia,full sun
Astilbe,partial shade
Bellflower,partial shade
Bleeding Heart,partial shade
Chrysanthemum,partial shade
Columbine,partial shade
Fuchsia,partial shade
Lenten Rose,partial shade
Lily,partial shade
Moss Verbena,partial shade
Pansy,partial shade
Phlox,partial shade
Primrose,partial shade
Sweet Kate' Spiderwort,partial shade
Veronica,partial shade
Begonia,full shade
'Black Scallop' Bugleweed,full shade
Coleus,full shade
Dead Nettle,full shade
Flowering,full shade
Maple,full shade
Geranium,full shade
Heuchera,full shade
Hydrangea,full shade
Impatiens,full shade
Jacob'S Ladder,full shade
Lungwort,full shade
Meadow Rue,full shade
Mirror Plant,full shade
Monkshood,full shade
Persian Shield,full shade
