Zinnia,15-30,¢J
Sunflower,15-30,¢J
Rose,18-25,¢J
Cactus,20-30,¢J
SessileAlternanthera,15-25,¢J
Bachelor'sButton,20-25,¢J
Humble-plant,15-20,¢J
Wheat,20,¢J
Triticum aestiyum,20,¢J
Barley,20,¢J
Hordeum vulgare,20,¢J
Oats,20-24,¢J
Arena satina,20-24,¢J
Rapeseed,15-20,¢J
Brassica napus,15-20,¢J
Alfalfa,25,¢J
Medicago sativa,25,¢J
Birdsfoot Trefoil,26,¢J
Lotus corniculatus,26,¢J
Red Cloner,25,¢J
Trifelium pratense,25,¢J
Sweet Clover,18-25,¢J
Melilotus offcinalis,18-25,¢J
White Clover,18-20,¢J
Trifolium repens,18-20,¢J
Fescue Grass,13-18,¢J
Festuca spp.,13-18,¢J
Orchardprass,18-20,¢J
Dactylis glomerata,18-20,¢J
Timothy,18-22,¢J
Phleum pratense,18-22,¢J
Basil,21-24,¢J
Ocimum basilicum,21-24,¢J
Mint,20-24,¢J
Mentha spicata,20-24,¢J
Parsley,10-30,¢J
Petroselinum crispum,10-30,¢J
Lovage,21,¢J
Levisticum offcinale,21,¢J
Summer Savory,20,¢J
Satureja hortensis,20,¢J
Chives,21,¢J
Allum schoenoprasum,21,¢J
Fenugreek,21,¢J
Trigonella foenum-graec,21,¢J
Bean,16-30,¢J
Beet,10-30,¢J
Cabbage,7-35,¢J
Carrct,7-30,¢J
Caulifloner,7-30,¢J
Celery,15-21,¢J
Comn,16-32,¢J
Cucumber,16-35,¢J
Aubergine,24-32,¢J
Lettuce,4-27,¢J
Onion,10-35,¢J
Parsnip,10-21,¢J
Pea,4-24,¢J
Pepper,18-35,¢J
Pumpkin,21-32,¢J
Radish,7-32,¢J
Rutabaga,6-30,¢J
Spimach,7-24,¢J
Squash,21-35,¢J
Tomato,10-30,¢J
Swiss Chard,20-23,¢J
Turnip/ Rutabaga,18-21,¢J
